#         ms          mr          mg          mh           d        psat        dn4k         sfr      hdelta        rexp     nsersic         con       sigv1          ka
#
     1.6e+10      -18.81      -17.92    3.01e+11           0           0       1.699      -11.77      -2.545        3.66       2.413       2.324       56.88           0
   7.985e+09      -19.25      -18.58   2.109e+11           0           0       1.231      -9.942         4.2       2.661       1.508       2.337       61.08           0
   1.957e+10      -20.38      -20.04   3.407e+11           0           0        1.18      -9.489       2.345       8.621       1.722       2.303       59.98           0
    3.15e+10      -20.06      -19.43   4.856e+11           0           0       1.349       -10.5       6.335       3.159       3.475       2.631       52.67           0
   5.102e+10      -20.16      -19.26   7.892e+11           0           0       1.888      -11.63       1.056       3.879           6       3.121       175.2           0
   1.518e+10      -19.19      -18.41   2.928e+11           0           0       1.663      -11.39      0.1875       3.755           6       2.578       68.69           0
    1.14e+10      -19.26      -18.74   2.508e+11           0           0       1.604      -10.31        1.63       10.85       1.073       2.034           0           0
    1.49e+11      -21.16      -20.22   3.718e+12           0           0       1.874      -12.16      -1.998        9.86       4.356       2.705         177           0
   8.577e+09      -19.23      -18.75    2.18e+11           0           0       1.357       -9.91       2.922       4.797       1.581       2.375       38.41           0
   7.208e+09      -19.44      -19.06   2.007e+11           0           0        1.23      -9.644       2.955        5.78        1.08       2.041       47.54           0
   1.316e+11      -21.02      -20.07   3.495e+12           0           0       1.841      -12.07      -1.255       5.301       3.787       3.441       251.5           0
   1.252e+10      -19.06      -18.27    2.63e+11           0           0       1.199      -9.426      0.6411       2.187       1.686       2.401       112.2           0
   1.003e+10      -19.27      -18.72   2.359e+11           0           0       1.378      -10.28       3.622       10.84         1.3       2.068       72.06           0
    5.25e+09      -18.64      -18.18   1.744e+11           0           0       1.325      -9.946       4.934       5.199       2.257       2.551       14.33           0
   8.192e+09       -18.4      -17.56   2.134e+11           0           0       1.271      -9.758       4.605       2.381      0.5811       2.199       96.63           0
   2.659e+10      -19.45      -18.54   4.231e+11           0           0        1.84      -11.76       -2.36       2.332           6       3.637       192.7           0
   4.555e+10      -19.56      -18.54   6.952e+11           0           0        1.99      -12.06      -1.718       2.984       4.693       3.304       142.6           0
   1.755e+10      -18.53      -17.59   3.174e+11           0           0       1.695      -10.81     -0.5362       3.951       2.464        2.69       101.8           0
   4.025e+10      -19.82       -18.9   6.948e+11           0           0       1.681      -11.07       0.135       3.508       3.935       2.974       125.2           0
   6.666e+10      -20.24       -19.3   1.075e+12           0      0.4226       1.946      -12.14      -2.259       4.197       4.525       3.126       171.2           0
   5.436e+10      -19.99      -18.99   8.488e+11           0           0       2.072      -12.15       -2.37       3.257           6       3.518         186           0
   4.075e+10      -20.28      -19.68   6.169e+11           0           0       1.331      -9.934       2.212       10.07        1.26       1.873       112.4           0
   5.458e+09      -18.57      -18.07   1.772e+11           0           0       1.294      -9.992       1.142       6.685       1.074       1.999       68.64           0
   5.376e+10      -20.23      -19.32   8.372e+11           0      0.2562       1.853      -11.92      -1.458       2.595       5.949       3.362       150.6           0
   1.873e+10      -19.44      -18.67   3.309e+11           0           0        1.58      -10.76       1.436       2.895        4.17       2.935       91.42           0
